id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger
1.316E+18,,,,1.32E+18,retweeted,,positive,0.429422,0.188545,0.297156,0.089137,0.081031,0.013433
1.316E+18,,,,1.32E+18,retweeted,,positive,0.76817,0.100513,0.485459,0.023408,0.049128,0.094693
1.316E+18,,,,1.32E+18,retweeted,,negative,-0.886401,0.24532,0.022353,0.200694,0.352595,0.042912
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.102168,0.082253,0.026514,0.248715,0.228824
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.061222,0.749467,0.024173,0.032295,0.016312
1.316E+18,,,,1.32E+18,retweeted,,negative,-0.981598,0.381787,0.092054,0.059003,0.141402,0.260243
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.227324,0.190154,0.06792,0.102232,0.061893
1.316E+18,,,,1.32E+18,retweeted,,positive,0.281113,0.277303,0.232156,0.018449,0.157603,0.023827
1.316E+18,,,,1.32E+18,retweeted,,negative,-0.696357,0.71584,0.015174,0.019964,0.1992,0.043587
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.156928,0.444533,0.091128,0.14929,0.098632
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.07726,0.527147,0.019585,0.12408,0.011079
1.316E+18,,,,1.32E+18,retweeted,,negative,-0.796843,0.228312,0.221309,0.016057,0.23979,0.024436
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.077275,0.265585,0.017152,0.584061,0.027321
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.204221,0.562386,0.036332,0.061976,0.028779
1.316E+18,,,,1.32E+18,retweeted,,negative,-0.572087,0.283582,0.229768,0.157011,0.14658,0.120128
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.077776,0.517281,0.031895,0.061765,0.049137
1.316E+18,,,,1.32E+18,retweeted,,positive,0.902408,0.142979,0.443761,0.0623,0.246783,0.058508
1.316E+18,,,,1.32E+18,retweeted,,negative,-0.66984,0.104296,0.096081,0.179968,0.07822,0.031225
1.316E+18,,,,1.32E+18,retweeted,,negative,-0.978161,0.084478,0.040936,0.213085,0.108433,0.020892
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.082688,0.391006,0.013026,0.546022,0.028486
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.189624,0.410677,0.053718,0.195475,0.049783
1.316E+18,,,,1.32E+18,retweeted,,positive,0.366448,0.561423,0.280801,0.017121,0.029847,0.017858
1.316E+18,,,,1.32E+18,retweeted,,negative,-0.73192,0.138445,0.340706,0.012677,0.129635,0.047073
1.316E+18,,,,1.32E+18,retweeted,,negative,-0.993468,0.051018,0.011642,0.0182,0.237642,0.415693
1.316E+18,,,,1.32E+18,retweeted,,negative,-0.526147,0.173349,0.473995,0.02769,0.052078,0.021141
1.316E+18,,,,1.32E+18,retweeted,,neutral,0,0.188689,0.212266,0.037479,0.534141,0.027656
