id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger,qt_id,qt_text,sent_score_qt,sent_label_qt,sent_language_qt,sadness_qt,joy_qt,fear_qt,disgust_qt,anger_qt
1.316E+18,,,,1.31577E+18,quoted,,neutral,0,0.127709,0.486089,0.061558,0.190162,0.056429,1.31577E+18,,0.816106,positive,,0.14362,0.420467,0.091298,0.047667,0.055801
1.316E+18,,,,1.316E+18,quoted,,negative,-0.721394,0.240579,0.310624,0.078629,0.093148,0.069357,1.316E+18,,-0.746147,negative,,0.303911,0.259113,0.087256,0.07312,0.044218
1.316E+18,,,,1.316E+18,quoted,,negative,-0.353564,0.295012,0.209677,0.069477,0.029234,0.09533,1.316E+18,,-0.990834,negative,,0.174116,0.028552,0.02881,0.362421,0.312979
1.316E+18,,,,1.31585E+18,quoted,,positive,0.84066,0.241552,0.353185,0.082666,0.062171,0.057254,1.31585E+18,,0,neutral,,0.375568,0.227283,0.068505,0.084892,0.06996
1.316E+18,,,,1.316E+18,quoted,,neutral,0,0.616766,0.307966,0.026555,0.012979,0.042676,1.316E+18,,-0.818951,negative,,0.150822,0.116593,0.131388,0.255828,0.052931
1.316E+18,,,,1.31594E+18,quoted,,neutral,0,0.20617,0.137585,0.058692,0.146034,0.13556,1.31594E+18,,-0.726344,negative,,0.136684,0.179466,0.262065,0.116648,0.105046
1.316E+18,,,,1.31585E+18,quoted,,neutral,0,0.149831,0.010499,0.042944,0.402199,0.637362,1.31585E+18,,0,neutral,,0.375568,0.227283,0.068505,0.084892,0.06996
1.316E+18,,,,1.31599E+18,quoted,,neutral,0,0.175094,0.536986,0.079088,0.059842,0.044666,1.31599E+18,,0,neutral,,0.110579,0.276178,0.01705,0.07639,0.050792
1.316E+18,,,,1.31357E+18,quoted,,neutral,0,0.160709,0.419764,0.019983,0.099832,0.02688,1.31357E+18,,0,neutral,,0.132562,0.376704,0.068175,0.065791,0.044062
1.316E+18,,,,1.31497E+18,quoted,,neutral,0,0.122131,0.472145,0.050524,0.223241,0.035701,1.31497E+18,,0.460586,positive,,0.20257,0.233351,0.041356,0.23302,0.079683
