id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger
1.50625E+18,,,,1.51E+18,retweeted,,neutral,0,0.060302,0.670277,0.034097,0.137136,0.022626
1.50625E+18,,,,1.51E+18,retweeted,,neutral,0,0.056169,0.117946,0.058993,0.223925,0.13687
1.50625E+18,,,,1.51E+18,retweeted,,positive,0.27871,0.131945,0.345855,0.080691,0.214246,0.029822
1.50625E+18,,,,1.51E+18,retweeted,,positive,0.773464,0.109036,0.389469,0.088129,0.08246,0.066871
1.50625E+18,,,,1.51E+18,retweeted,,negative,-0.562575,0.066646,0.222111,0.019641,0.66115,0.012029
1.50625E+18,,,,1.51E+18,retweeted,,neutral,0,0.072595,0.154031,0.030461,0.727628,0.047232
1.50625E+18,,,,1.51E+18,retweeted,,neutral,0,0.08027,0.479325,0.051298,0.498491,0.028696
1.50625E+18,,,,1.51E+18,retweeted,,neutral,0,0.429392,0.257802,0.014259,0.233411,0.057041
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.077416,0.122744,0.250826,0.528289,0.162181
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.19221,0.241563,0.093957,0.138317,0.049141
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.836873,0.157311,0.165602,0.051743,0.171179,0.008255
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.099972,0.673566,0.024192,0.315421,0.020175
1.50626E+18,,,,1.50E+18,retweeted,,positive,0.584888,0.213638,0.585955,0.042264,0.101755,0.025344
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.041104,0.076983,0.026922,0.893734,0.049608
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.962,0.57253,0.022939,0.131379,0.06714,0.094525
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.091886,0.393396,0.067969,0.324047,0.042056
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.121533,0.301488,0.012197,0.355301,0.009803
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.647099,0.062584,0.026149,0.053469,0.784239,0.041043
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.311581,0.058483,0.90555,0.016213,0.075052,0.016141
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.55132,0.091267,0.414385,0.022925,0.144745,0.004759
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.969542,0.249193,0.012012,0.085823,0.57922,0.113393
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.218221,0.635589,0.032268,0.104709,0.016908
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.753747,0.302255,0.338924,0.060249,0.20925,0.035062
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.74986,0.333628,0.057202,0.073389,0.501712,0.040109
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.127422,0.48602,0.079038,0.14996,0.120553
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.867157,0.079692,0.378644,0.084599,0.393423,0.057564
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.80616,0.285722,0.029977,0.024674,0.712677,0.058457
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.713101,0.187409,0.183319,0.027041,0.141623,0.015936
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.849444,0.116732,0.462734,0.08945,0.441418,0.037648
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.290583,0.074799,0.058133,0.638194,0.027188
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.694413,0.48437,0.046867,0.028614,0.478677,0.052389
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.144036,0.106489,0.01193,0.753822,0.020486
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.786353,0.120556,0.415211,0.029354,0.189104,0.086807
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.842303,0.186303,0.28021,0.065238,0.144296,0.059429
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.22609,0.090656,0.126334,0.057763,0.503373,0.026758
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.174573,0.193982,0.089551,0.067501,0.210751
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.658285,0.08837,0.369439,0.065279,0.274197,0.127152
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.80956,0.279943,0.488343,0.033073,0.242098,0.017247
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.339336,0.183733,0.09805,0.031169,0.580849,0.021811
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.955015,0.188354,0.382132,0.037925,0.233483,0.102879
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.143058,0.37856,0.068195,0.140387,0.069798
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.853844,0.156706,0.203434,0.058985,0.439624,0.046572
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.71359,0.368493,0.109137,0.24781,0.324582,0.017321
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.122115,0.360778,0.0663,0.117152,0.054884
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.068401,0.067556,0.071609,0.858824,0.043152
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.872267,0.21506,0.980611,0.006188,0.096962,0.002942
1.50626E+18,,,,1.05E+18,retweeted,,positive,0.65983,0.112089,0.504516,0.035079,0.174263,0.034521
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.802755,0.475333,0.103733,0.118046,0.125949,0.036565
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.078998,0.112962,0.029183,0.692502,0.06574
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.523231,0.209656,0.254663,0.150411,0.108655,0.086333
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.768614,0.019223,0.947707,0.008198,0.078275,0.012008
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.842073,0.054738,0.204022,0.025918,0.354769,0.032001
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.160581,0.288271,0.06559,0.152734,0.053431
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.104657,0.530973,0.047871,0.338163,0.042616
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.917837,0.117392,0.286886,0.147917,0.221789,0.051383
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.498948,0.20328,0.021818,0.253123,0.024068
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.132105,0.536295,0.067326,0.055077,0.039587
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.162094,0.174535,0.040462,0.221475,0.036573
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.056588,0.18131,0.037996,0.741375,0.00843
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.153486,0.55628,0.047721,0.33735,0.019256
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.172151,0.344744,0.041531,0.363166,0.037057
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.051011,0.486644,0.029698,0.288384,0.172085
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.880366,0.094332,0.312608,0.090296,0.272661,0.049952
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.654662,0.118857,0.660451,0.053221,0.242294,0.05138
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.76664,0.178151,0.042901,0.032931,0.372728,0.047112
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.328237,0.199834,0.055735,0.032333,0.128702,0.097791
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.822786,0.079146,0.731636,0.01148,0.355812,0.007224
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.377926,0.146502,0.343496,0.185224,0.173898,0.028688
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.155739,0.104963,0.022577,0.321239,0.030262
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.06808,0.130036,0.258583,0.668404,0.022489
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.728326,0.614921,0.112718,0.065518,0.0398,0.039191
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.43629,0.120367,0.343318,0.194059,0.093036,0.036621
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.89521,0.110041,0.022407,0.038446,0.503064,0.263726
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.637474,0.033666,0.304936,0.033956,0.123209,0.045262
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.881494,0.054923,0.916307,0.017588,0.093908,0.012151
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.276906,0.407691,0.034761,0.370224,0.027515
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.85081,0.153001,0.311875,0.056058,0.191986,0.058664
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.13917,0.432227,0.03714,0.288831,0.040244
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.081828,0.250527,0.039638,0.592705,0.023947
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.408208,0.066084,0.218251,0.025273,0.166082,0.031838
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.070952,0.365692,0.017161,0.208181,0.020964
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.050261,0.418939,0.015482,0.220886,0.007932
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.095251,0.586547,0.040314,0.313849,0.016135
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.855052,0.149763,0.162575,0.054066,0.280352,0.106819
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.923887,0.109644,0.600044,0.036131,0.197822,0.036798
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.945702,0.140184,0.774047,0.006588,0.066317,0.029778
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.226939,0.288889,0.039856,0.201869,0.006838
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.301478,0.179247,0.034962,0.401261,0.038512
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.653131,0.431806,0.114944,0.057819,0.310814,0.078431
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.106293,0.208447,0.015378,0.350181,0.030105
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.546378,0.359852,0.130272,0.060063,0.141625,0.029346
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.106085,0.112004,0.022038,0.706888,0.033457
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.582348,0.178302,0.422376,0.043933,0.158661,0.101354
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.813673,0.359413,0.276845,0.051818,0.30451,0.061753
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.0747,0.361878,0.053285,0.370004,0.055446
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.117627,0.404779,0.057709,0.306755,0.032735
1.50626E+18,,,,1.51E+18,retweeted,,positive,0.786258,0.036082,0.053682,0.295545,0.141193,0.024623
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.707098,0.151728,0.443059,0.044259,0.312069,0.032755
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.127584,0.401642,0.106416,0.255239,0.02509
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.501812,0.364848,0.130852,0.027346,0.28324,0.024645
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.605545,0.417087,0.202354,0.054164,0.171757,0.041876
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.097733,0.691971,0.041282,0.155601,0.032465
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.052575,0.158199,0.029248,0.519315,0.015946
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.895982,0.391232,0.089388,0.173532,0.082102,0.029992
1.50626E+18,,,,1.51E+18,retweeted,,neutral,0,0.14898,0.224864,0.01395,0.123928,0.024475
1.50626E+18,,,,1.51E+18,retweeted,,negative,-0.396513,0.078935,0.391449,0.405656,0.159658,0.006602
