id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger,qt_id,qt_text,sent_score_qt,sent_label_qt,sent_language_qt,sadness_qt,joy_qt,fear_qt,disgust_qt,anger_qt
1.50626E+18,,,,1.50598E+18,quoted,,negative,-0.324449,0.306388,0.269058,0.081607,0.059089,0.09912,1.50598E+18,,-0.826973,negative,,0.22529,0.005902,0.145091,0.069142,0.180004
1.50626E+18,,,,1.50598E+18,quoted,,negative,-0.324449,0.303003,0.266687,0.090253,0.060487,0.097465,1.50598E+18,,-0.826973,negative,,0.22529,0.005902,0.145091,0.069142,0.180004
1.50626E+18,,,,1.50591E+18,quoted,,positive,0.811509,0.126246,0.676414,0.038923,0.026884,0.021622,1.50591E+18,,0.674873,positive,,0.16509,0.422689,0.073048,0.068075,0.063774
1.50626E+18,,,,1.50601E+18,quoted,,negative,-0.900417,0.215871,0.275497,0.088815,0.205688,0.109462,1.50601E+18,,-0.999064,negative,,0.052812,0.001124,0.00634,0.672733,0.449049
1.50626E+18,,,,1.50626E+18,quoted,,positive,0.619029,0.109623,0.428889,0.033962,0.19877,0.0199,1.50626E+18,,0,neutral,,0.192451,0.41812,0.049969,0.218245,0.049404
1.50626E+18,,,,1.50626E+18,quoted,,negative,-0.338002,0.180811,0.290351,0.078627,0.046333,0.099506,1.50626E+18,,0.822476,positive,,0,0,0,0,0
1.50626E+18,,,,1.50626E+18,quoted,,negative,-0.5219,0.319052,0.186042,0.064404,0.073583,0.084719,1.50626E+18,,0,neutral,,0.192451,0.41812,0.049969,0.218245,0.049404
1.50626E+18,,,,1.50598E+18,quoted,,negative,-0.794901,0.244504,0.227108,0.086203,0.070154,0.188353,1.50598E+18,,-0.826973,negative,,0.22529,0.005902,0.145091,0.069142,0.180004
1.50626E+18,,,,1.50626E+18,quoted,,neutral,0,0.119452,0.037707,0.039613,0.367965,0.170367,1.50626E+18,,-0.605495,negative,,0.125143,0.29307,0.054248,0.208936,0.116107
1.50626E+18,,,,1.50625E+18,quoted,,neutral,0,0.117264,0.067821,0.028907,0.195453,0.036176,1.50625E+18,,0,neutral,,0.362297,0.130391,0.039506,0.106413,0.018735
1.50626E+18,,,,1.50626E+18,quoted,,positive,0.885453,0.099037,0.673449,0.052277,0.054478,0.037106,1.50626E+18,,-0.643643,negative,,0.112654,0.42196,0.050057,0.224779,0.038932
1.50626E+18,,,,1.50572E+18,quoted,,negative,-0.727481,0.18216,0.083037,0.044532,0.351349,0.26294,1.50572E+18,,-0.729176,negative,,0.203194,0.303844,0.058879,0.337604,0.052727
1.50627E+18,,,,1.50626E+18,quoted,,positive,0.808558,0.129186,0.524956,0.067034,0.077327,0.080759,1.50626E+18,,-0.8794,negative,,0.190149,0.180059,0.043154,0.500565,0.019771
1.50627E+18,,,,1.50627E+18,quoted,,positive,0.421862,0.110457,0.423939,0.100595,0.060201,0.05402,1.50627E+18,,0.683412,positive,,0.177496,0.125292,0.070529,0.084525,0.152149
1.50627E+18,,,,1.50626E+18,quoted,,negative,-0.564442,0.132527,0.279589,0.050682,0.217846,0.047716,1.50626E+18,,-0.961002,negative,,0.365055,0.005998,0.043643,0.65671,0.100636
1.50627E+18,,,,1.50627E+18,quoted,,positive,0.97304,0.096978,0.732508,0.052528,0.031129,0.032077,1.50627E+18,,0.930914,positive,,0.053645,0.761291,0.019279,0.065854,0.016475
1.50627E+18,,,,1.50627E+18,quoted,,negative,-0.767777,0.252879,0.00845,0.06648,0.135434,0.145409,1.50627E+18,,-0.656355,negative,,0.167019,0.094336,0.063953,0.102487,0.031845
1.50627E+18,,,,1.50598E+18,quoted,,positive,0.264473,0.167019,0.357237,0.056812,0.087436,0.167173,1.50598E+18,,-0.826973,negative,,0.22529,0.005902,0.145091,0.069142,0.180004
1.50627E+18,,,,1.50625E+18,quoted,,negative,-0.554548,0.241812,0.131484,0.087891,0.052337,0.067909,1.50625E+18,,0,neutral,,0.445309,0.207877,0.044004,0.083604,0.05694
1.50628E+18,,,,1.50626E+18,quoted,,neutral,0,0.148888,0.026747,0.0349,0.819356,0.047666,1.50626E+18,,0,undeterminated,,0,0,0,0,0
1.50628E+18,,,,1.50626E+18,quoted,,negative,-0.845942,0.165703,0.166025,0.077004,0.232129,0.060769,1.50626E+18,,-0.961002,negative,,0.365055,0.005998,0.043643,0.65671,0.100636
1.50628E+18,,,,1.50604E+18,quoted,,negative,-0.748646,0.22747,0.220733,0.052368,0.130033,0.090866,1.50604E+18,,0,neutral,,0.073218,0.517746,0.113328,0.006328,0.106773
1.50628E+18,,,,1.50627E+18,quoted,,positive,0.705192,0.108333,0.200213,0.083068,0.11378,0.123209,1.50627E+18,,-0.380023,negative,,0.231032,0.495718,0.040835,0.130828,0.080902
1.50628E+18,,,,1.50593E+18,quoted,,positive,0.464147,0.314307,0.243981,0.055744,0.135241,0.055511,1.50593E+18,,0.979633,positive,,0.130994,0.599707,0.06193,0.038796,0.034784
1.50628E+18,,,,1.5059E+18,quoted,,negative,-0.862069,0.203568,0.191689,0.104906,0.060188,0.0617,1.5059E+18,,0,neutral,,0.278741,0.294583,0.036096,0.203256,0.140683
1.50628E+18,,,,1.50599E+18,quoted,,positive,0.297806,0.086179,0.544395,0.090164,0.067133,0.042582,1.50599E+18,,0.984659,positive,,0.122075,0.484726,0.051873,0.233141,0.054591
1.50628E+18,,,,1.50626E+18,quoted,,negative,-0.848052,0.21259,0.251441,0.082427,0.183401,0.14753,1.50626E+18,,0,undeterminated,,0,0,0,0,0
