id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger
1.14734E+18,,,,1.15E+18,retweeted,,positive,0.444874,0.227652,0.427716,0.093897,0.058417,0.038779
1.14734E+18,,,,1.15E+18,retweeted,,neutral,0,0.326136,0.413283,0.032725,0.080111,0.041814
1.14734E+18,,,,1.15E+18,retweeted,,negative,-0.955933,0.055967,0.13788,0.041402,0.135671,0.570393
1.14734E+18,,,,1.15E+18,retweeted,,negative,-0.795833,0.251832,0.244689,0.072558,0.044572,0.258563
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.687761,0.358924,0.044286,0.491978,0.052946,0.079861
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.389213,0.196626,0.34795,0.160198,0.124496,0.039845
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.518467,0.201746,0.33047,0.13721,0.166436,0.064845
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.883624,0.211194,0.052167,0.185875,0.189128,0.051879
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.197532,0.350806,0.103545,0.087019,0.053771
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.951001,0.144727,0.262468,0.376135,0.058977,0.039069
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.213353,0.360177,0.10112,0.04086,0.042991
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.964268,0.124683,0.344334,0.077041,0.037461,0.255342
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.838891,0.149481,0.581042,0.07701,0.048699,0.038128
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.751334,0.094848,0.269614,0.180669,0.056859,0.022252
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.860278,0.567724,0.178135,0.020376,0.042338,0.032473
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.494217,0.143323,0.452945,0.106512,0.06747,0.047686
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.798442,0.30076,0.231788,0.38131,0.031802,0.033021
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.593822,0.345783,0.276773,0.334546,0.028576,0.066137
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.828725,0.241154,0.196189,0.1763,0.068313,0.085758
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.970883,0.567731,0.118002,0.079311,0.063757,0.033919
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.295088,0.171616,0.557171,0.090015,0.052882,0.040709
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.525235,0.11426,0.580335,0.033184,0.011805
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.465059,0.238228,0.351216,0.227454,0.03393,0.037533
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.751739,0.108322,0.477797,0.0718,0.035094,0.266625
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.143401,0.418512,0.090514,0.079278,0.063359
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.885242,0.084012,0.305921,0.278643,0.110631,0.019778
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.845082,0.211953,0.278884,0.171955,0.069665,0.074555
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.173205,0.479925,0.129847,0.041564,0.010383
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.748348,0.321959,0.180067,0.20204,0.054871,0.272981
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.584284,0.226068,0.349817,0.306226,0.035609,0.104293
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.936914,0.12131,0.261949,0.067659,0.038544,0.316807
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.288923,0.352729,0.100535,0.041295,0.058851
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.846648,0.290443,0.225217,0.171779,0.031979,0.036451
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.930056,0.253729,0.123911,0.558304,0.070872,0.018887
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.752609,0.273624,0.218994,0.232702,0.062457,0.041073
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.978605,0.367399,0.014725,0.698457,0.018242,0.019805
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.680945,0.118276,0.263967,0.10438,0.125471,0.128162
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.593216,0.220386,0.436023,0.059697,0.069844,0.056074
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.998891,0.260224,0.213765,0.333877,0.070567,0.102064
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.427804,0.134328,0.422816,0.070538,0.199442,0.03218
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.502825,0.137177,0.47296,0.11262,0.043213,0.186051
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.992926,0.245348,0.253479,0.177792,0.193175,0.023376
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.603437,0.145292,0.433956,0.021251,0.030561
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.880381,0.114959,0.210789,0.314909,0.036907,0.196661
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.373606,0.160623,0.711806,0.03688,0.072808,0.020266
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.967392,0.412644,0.220288,0.321502,0.040546,0.036814
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.321237,0.165317,0.052546,0.657218,0.080975,0.015977
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.205415,0.318628,0.016748,0.048301,0.353919
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.766035,0.568608,0.167126,0.070152,0.041688,0.051502
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.869276,0.114681,0.535011,0.086332,0.041189,0.092453
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.50787,0.179062,0.491845,0.045815,0.019428
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.845869,0.345448,0.214039,0.110836,0.050142,0.051779
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.602336,0.171917,0.484384,0.091183,0.057925,0.038624
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.982701,0.327105,0.267082,0.355304,0.062383,0.022689
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.905262,0.53788,0.036222,0.431974,0.050779,0.017023
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.84675,0.133805,0.607962,0.048923,0.153905,0.020188
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.311981,0.37407,0.071339,0.499156,0.035376,0.007821
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.184581,0.604604,0.061136,0.007491,0.014528
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.842855,0.431188,0.171323,0.389234,0.035159,0.039899
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.455037,0.282611,0.427816,0.025699,0.104196,0.022319
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.589264,0.210211,0.659867,0.023783,0.051724,0.031496
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.849344,0.251785,0.234683,0.151435,0.043233,0.046298
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.600894,0.222849,0.261946,0.211645,0.059835,0.06708
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.313972,0.121782,0.628625,0.047458,0.02386
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.870986,0.16137,0.227868,0.290102,0.055784,0.180834
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.693598,0.347387,0.337478,0.205894,0.027519,0.044242
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.18212,0.29599,0.080495,0.14895,0.072163
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.67041,0.338581,0.261377,0.084774,0.032273,0.059863
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.162621,0.131363,0.234378,0.02865,0.025922
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.982504,0.266514,0.432473,0.21486,0.074429,0.025665
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.871055,0.193261,0.403151,0.036786,0.055673,0.033811
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.495443,0.098235,0.761889,0.026185,0.078285,0.086604
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.745254,0.331855,0.440896,0.04942,0.071526,0.029406
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.997116,0.229377,0.022098,0.194847,0.048416,0.150988
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.791289,0.180952,0.285207,0.342396,0.037222,0.040254
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.657468,0.26617,0.315911,0.106268,0.037895,0.060427
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.427985,0.196409,0.506316,0.171914,0.046493,0.039459
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.807674,0.096088,0.431884,0.119501,0.062233,0.306685
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.424884,0.173754,0.381019,0.096162,0.04627,0.073808
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.738495,0.245352,0.241145,0.158817,0.053897,0.048916
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.314166,0.11333,0.137426,0.253797,0.115923,0.026801
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.936062,0.176112,0.177048,0.547835,0.035112,0.010552
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.281957,0.366317,0.063716,0.071515,0.051077
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.969376,0.603864,0.012072,0.15329,0.174192,0.104312
1.14735E+18,,,,1.15E+18,retweeted,,neutral,0,0.312215,0.510083,0.023975,0.114661,0.027522
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.963066,0.257103,0.009823,0.068967,0.062887,0.293326
1.14735E+18,,,,1.15E+18,retweeted,,negative,-0.95928,0.086605,0.057666,0.018857,0.158198,0.688526
1.14735E+18,,,,1.15E+18,retweeted,,positive,0.372957,0.639075,0.325495,0.019045,0.026888,0.030036
