id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger,qt_id,qt_text,sent_score_qt,sent_label_qt,sent_language_qt,sadness_qt,joy_qt,fear_qt,disgust_qt,anger_qt
1.14735E+18,,,,1.14734E+18,quoted,,negative,-0.95797,0.140744,0.277917,0.18155,0.037746,0.162501,1.14734E+18,,0,neutral,,0.197364,0.181655,0.234213,0.034066,0.115281
1.14735E+18,,,,1.14734E+18,quoted,,positive,0.92814,0.148747,0.639329,0.06022,0.026639,0.038034,1.14734E+18,,0,neutral,,0.245853,0.190998,0.408895,0.043457,0.062896
1.14735E+18,,,,1.14712E+18,quoted,,positive,0.767859,0.133186,0.552634,0.248459,0.009769,0.048658,1.14712E+18,,-0.870773,negative,,0.320978,0.381028,0.154467,0.024195,0.051028
1.14735E+18,,,,1.14735E+18,quoted,,negative,-0.67992,0.400788,0.395843,0.05212,0.084252,0.050908,1.14735E+18,,-0.749688,negative,,0.210595,0.101048,0.264011,0.047513,0.236605
1.14735E+18,,,,1.14735E+18,quoted,,negative,-0.707344,0.152755,0.390575,0.02894,0.094457,0.154132,1.14735E+18,,-0.574629,negative,,0.684469,0.092806,0.171442,0.012381,0.018358
1.14735E+18,,,,1.14735E+18,quoted,,neutral,0,0.244561,0.285015,0.069009,0.048286,0.060448,1.14735E+18,,0,neutral,,0.19022,0.334506,0.090075,0.045873,0.052274
1.14735E+18,,,,1.14714E+18,quoted,,negative,-0.632036,0.264986,0.232698,0.283127,0.05197,0.073019,1.14714E+18,,-0.538897,negative,,0.23728,0.192073,0.246283,0.035103,0.073453
1.14735E+18,,,,1.14735E+18,quoted,,neutral,0,0.107921,0.418934,0.348611,0.026254,0.050866,1.14735E+18,,0,neutral,,0.159992,0.326288,0.166705,0.029561,0.067737
1.14735E+18,,,,1.14735E+18,quoted,,negative,-0.95813,0.10717,0.390918,0.3837,0.039791,0.031513,1.14735E+18,,0,neutral,,0.159992,0.326288,0.166705,0.029561,0.067737
1.14735E+18,,,,1.14735E+18,quoted,,negative,-0.965349,0.522819,0.023941,0.14415,0.362015,0.094116,1.14735E+18,,-0.642288,negative,,0.338696,0.117744,0.325568,0.013366,0.046947
1.14735E+18,,,,1.14735E+18,quoted,,neutral,0,0.118292,0.60011,0.062408,0.038836,0.052804,1.14735E+18,,-0.66162,negative,,0.422946,0.58568,0.043962,0.021455,0.016493
1.14735E+18,,,,1.14735E+18,quoted,,negative,-0.454698,0.10272,0.600889,0.056749,0.035752,0.04022,1.14735E+18,,-0.340864,negative,,0.293817,0.299463,0.19919,0.035179,0.033564
1.14735E+18,,,,1.14735E+18,quoted,,positive,0.7914,0.106054,0.722034,0.068539,0.027405,0.03331,1.14735E+18,,0,neutral,,0.19022,0.334506,0.090075,0.045873,0.052274
1.14735E+18,,,,1.14734E+18,quoted,,negative,-0.451683,0.132546,0.447343,0.099968,0.049806,0.041216,1.14734E+18,,-0.464053,negative,,0.103596,0.170969,0.582108,0.037723,0.031566
1.14735E+18,,,,1.14734E+18,quoted,,positive,0.646572,0.03261,0.736394,0.22149,0.004391,0.112459,1.14734E+18,,0,neutral,,0.095875,0.10329,0.738816,0.020829,0.02714
1.14735E+18,,,,1.14735E+18,quoted,,neutral,0,0.214697,0.300629,0.175271,0.039982,0.050591,1.14735E+18,,0,neutral,,0.381952,0.207611,0.187039,0.023147,0.011397
1.14735E+18,,,,1.14735E+18,quoted,,negative,-0.495926,0.233973,0.451715,0.110298,0.082538,0.03325,1.14735E+18,,-0.642288,negative,,0.338696,0.117744,0.325568,0.013366,0.046947
1.14735E+18,,,,1.14735E+18,quoted,,neutral,0,0.133823,0.531494,0.043125,0.038585,0.1749,1.14735E+18,,0,neutral,,0.381952,0.207611,0.187039,0.023147,0.011397
1.14735E+18,,,,1.14735E+18,quoted,,neutral,0,0.178232,0.334805,0.065702,0.033531,0.137539,1.14735E+18,,-0.642288,negative,,0.338696,0.117744,0.325568,0.013366,0.046947
1.14735E+18,,,,1.14735E+18,quoted,,negative,-0.732594,0.219164,0.459381,0.199007,0.067744,0.056766,1.14735E+18,,-0.787916,negative,,0.344317,0.182658,0.40977,0.06562,0.03982
1.14735E+18,,,,1.14734E+18,quoted,,negative,-0.754641,0.19819,0.19217,0.135819,0.039679,0.038962,1.14734E+18,,-0.464053,negative,,0.103596,0.170969,0.582108,0.037723,0.031566
