id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger,qt_id,qt_text,sent_score_qt,sent_label_qt,sent_language_qt,sadness_qt,joy_qt,fear_qt,disgust_qt,anger_qt
1.31543E+18,,,,1.31542E+18,quoted,,negative,-0.316438,0.089559,0.543021,0.104256,0.056553,0.058378,1.31542E+18,,0,neutral,,0.114778,0.571492,0.20619,0.093938,0.052206
1.31543E+18,,,,1.31543E+18,quoted,,positive,0.773,0.101948,0.596367,0.079181,0.06384,0.033157,1.31543E+18,,0,neutral,,0.09929,0.426395,0.146205,0.038542,0.136179
1.31544E+18,,,,1.31543E+18,quoted,,neutral,0,0.074856,0.455032,0.082813,0.157004,0.022687,1.31543E+18,,0,neutral,,0.09929,0.426395,0.146205,0.038542,0.136179
1.31544E+18,,,,1.31473E+18,quoted,,positive,0.565673,0.500029,0.322035,0.052558,0.07868,0.014751,1.31473E+18,,-0.447334,negative,,0,0,0,0,0
1.31544E+18,,,,1.31473E+18,quoted,,neutral,0,0.163795,0.372702,0.122432,0.093561,0.054382,1.31473E+18,,0,neutral,,0.216975,0.530373,0.066569,0.147803,0.012435
1.31544E+18,,,,1.31543E+18,quoted,,positive,0.911136,0.067008,0.388532,0.041582,0.327905,0.050568,1.31543E+18,,0,neutral,,0,0,0,0,0
1.31544E+18,,,,1.31468E+18,quoted,,positive,0.731444,0.195852,0.420308,0.045674,0.200029,0.053644,1.31468E+18,,-0.900984,negative,,0.187636,0.164963,0.124215,0.05467,0.12264
1.31544E+18,,,,1.31543E+18,quoted,,neutral,0,0.112974,0.327244,0.068007,0.051726,0.06276,1.31543E+18,,0.498126,positive,,0.170337,0.340928,0.040988,0.044934,0.105195
1.31544E+18,,,,1.31538E+18,quoted,,negative,-0.490427,0.227045,0.372674,0.130037,0.144586,0.055455,1.31538E+18,,0,neutral,,0.12195,0.402581,0.105988,0.042336,0.101117
1.31544E+18,,,,1.31544E+18,quoted,,negative,-0.604186,0.162903,0.498444,0.06954,0.088526,0.053591,1.31544E+18,,0.312371,positive,,0.206509,0.317971,0.162328,0.03962,0.069961
1.31544E+18,,,,1.31536E+18,quoted,,negative,-0.989574,0.248035,0.153421,0.056537,0.360962,0.136901,1.31536E+18,,-0.716796,negative,,0.27072,0.153042,0.112392,0.038557,0.080898
1.31544E+18,,,,1.31544E+18,quoted,,positive,0.30242,0.119185,0.358043,0.056701,0.083743,0.09395,1.31544E+18,,0,neutral,,0.22792,0.334099,0.043172,0.104591,0.071937
1.31544E+18,,,,1.31544E+18,quoted,,negative,-0.550988,0.391205,0.53579,0.037658,0.152654,0.016829,1.31544E+18,,0,neutral,,0.155743,0.437462,0.101885,0.096087,0.041913
1.31544E+18,,,,1.05011E+18,quoted,,positive,0.779988,0.067022,0.83405,0.047217,0.047117,0.173488,1.05011E+18,,0,neutral,,0.188672,0.165899,0.014922,0.494005,0.043145
1.31544E+18,,,,1.31544E+18,quoted,,positive,0.402114,0.333244,0.417796,0.084451,0.050878,0.065616,1.31544E+18,,0.70477,positive,,0.246239,0.404138,0.059009,0.066811,0.087196
1.31544E+18,,,,1.31544E+18,quoted,,negative,-0.921112,0.127161,0.206023,0.065034,0.106582,0.319887,1.31544E+18,,0.827076,positive,,0.089883,0.978141,0.019915,0.008355,0.021852
1.31544E+18,,,,1.31544E+18,quoted,,neutral,0,0.098086,0.497062,0.044793,0.119318,0.111234,1.31544E+18,,0.648627,positive,,0.088145,0.485094,0.063275,0.103905,0.089766
1.31544E+18,,,,1.31542E+18,quoted,,neutral,0,0.24816,0.337802,0.076153,0.062597,0.05475,1.31542E+18,,0,neutral,,0.262268,0.270801,0.084242,0.093984,0.023163
1.31544E+18,,,,1.31542E+18,quoted,,negative,-0.523898,0.266061,0.181862,0.215613,0.055939,0.128912,1.31542E+18,,-0.975712,negative,,0.220481,0.269922,0.183745,0.062364,0.121165
1.31544E+18,,,,1.31544E+18,quoted,,positive,0.885976,0.072674,0.737438,0.063015,0.081323,0.023394,1.31544E+18,,0.513382,positive,,0.113651,0.571005,0.06834,0.066871,0.070063
