id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger
1.36756E+18,,,,1.37E+18,retweeted,,negative,-0.661609,0.171877,0.105333,0.142026,0.018711,0.017237
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.311939,0.429211,0.218591,0.033959,0.020704
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.16721,0.353113,0.438376,0.08022,0.012099
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.19896,0.248453,0.160775,0.023666,0.035689
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.350888,0.351906,0.263824,0.039392,0.021305
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.133713,0.641579,0.114923,0.029872,0.027095
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.274869,0.199383,0.179151,0.032574,0.07445
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.260853,0.051223,0.457001,0.013463,0.030127
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.263856,0.440004,0.275152,0.032683,0.018024
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.257548,0.435445,0.261627,0.03325,0.018922
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.225501,0.438512,0.237947,0.040599,0.018954
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.107081,0.463707,0.392984,0.034058,0.012389
1.36756E+18,,,,1.37E+18,retweeted,,negative,-0.592916,0.4524,0.145314,0.170872,0.066748,0.017345
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.164323,0.399094,0.050661,0.65254,0.01016
1.36756E+18,,,,1.37E+18,retweeted,,negative,-0.810434,0.233405,0.331023,0.183073,0.05206,0.034826
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.383439,0.264674,0.08843,0.040145,0.043259
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.263609,0.38296,0.028695,0.039249,0.009458
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.194743,0.27512,0.171651,0.010017,0.007363
1.36756E+18,,,,1.37E+18,retweeted,,negative,-0.921919,0.36631,0.107411,0.223162,0.041144,0.022482
1.36756E+18,,,,1.37E+18,retweeted,,negative,-0.679751,0.376456,0.364346,0.097717,0.161681,0.022222
1.36756E+18,,,,1.37E+18,retweeted,,negative,-0.860394,0.088758,0.219971,0.507473,0.035747,0.041098
1.36756E+18,,,,1.37E+18,retweeted,,neutral,0,0.585934,0.222523,0.028612,0.033208,0.03652
1.36756E+18,,,,1.37E+18,retweeted,,negative,-0.667413,0.346523,0.316952,0.20392,0.036475,0.037464
1.36756E+18,,,,1.37E+18,retweeted,,negative,-0.79791,0.227182,0.092437,0.402421,0.034833,0.082998
