id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger,qt_id,qt_text,sent_score_qt,sent_label_qt,sent_language_qt,sadness_qt,joy_qt,fear_qt,disgust_qt,anger_qt
1.36756E+18,,,,1.36756E+18,quoted,,neutral,0,0.147998,0.440104,0.110665,0.028584,0.035525,1.36756E+18,,0,neutral,,0.609092,0.219267,0.063429,0.013826,0.011132
1.36756E+18,,,,1.36756E+18,quoted,,negative,-0.895703,0.149726,0.196732,0.263988,0.023295,0.158245,1.36756E+18,,0,neutral,,0.609092,0.219267,0.063429,0.013826,0.011132
1.36756E+18,,,,1.36756E+18,quoted,,positive,0.320747,0.346993,0.392087,0.11314,0.021928,0.034369,1.36756E+18,,0,neutral,,0.609092,0.219267,0.063429,0.013826,0.011132
1.36757E+18,,,,1.36757E+18,quoted,,neutral,0,0.206897,0.336989,0.183653,0.037252,0.041445,1.36757E+18,,-0.89668,negative,,0.170906,0.16199,0.279911,0.043316,0.045358
1.36757E+18,,,,1.36756E+18,quoted,,negative,-0.912597,0.445389,0.103529,0.192853,0.026296,0.044164,1.36756E+18,,-0.931206,negative,,0.309021,0.302718,0.189174,0.029145,0.014088
1.36757E+18,,,,1.36756E+18,quoted,,negative,-0.848669,0.238228,0.329151,0.191326,0.022856,0.048526,1.36756E+18,,0,neutral,,0.757868,0.219658,0.07138,0.018021,0.007453
1.36757E+18,,,,1.36754E+18,quoted,,negative,-0.758763,0.239425,0.341813,0.124638,0.023227,0.040247,1.36754E+18,,-0.66109,negative,,0.215806,0.030847,0.340708,0.01379,0.027574
1.36757E+18,,,,1.36756E+18,quoted,,negative,-0.906511,0.200028,0.28473,0.076436,0.026272,0.052832,1.36756E+18,,0,neutral,,0.609092,0.219267,0.063429,0.013826,0.011132
1.36757E+18,,,,1.36747E+18,quoted,,negative,-0.968652,0.248605,0.171704,0.251554,0.051469,0.055042,1.36747E+18,,-0.830421,negative,,0.10586,0.160436,0.19552,0.04977,0.322793
1.36757E+18,,,,1.36757E+18,quoted,,neutral,0,0.179494,0.184584,0.135784,0.043762,0.053292,1.36757E+18,,-0.850554,negative,,0.251533,0.199152,0.53077,0.02851,0.033128
1.36757E+18,,,,1.36756E+18,quoted,,neutral,0,0.43088,0.236257,0.323655,0.014098,0.006899,1.36756E+18,,-0.854063,negative,,0.648593,0.018076,0.252496,0.01701,0.040858
1.36757E+18,,,,1.36747E+18,quoted,,positive,0.403457,0.350193,0.21723,0.098578,0.029278,0.037084,1.36747E+18,,0.76409,positive,,0.198312,0.35033,0.192694,0.07895,0.062248
1.36757E+18,,,,1.36757E+18,quoted,,negative,-0.859137,0.188799,0.148117,0.259155,0.040247,0.113699,1.36757E+18,,-0.733213,negative,,0.18443,0.220553,0.212631,0.033053,0.041917
1.36757E+18,,,,1.36757E+18,quoted,,neutral,0,0.119122,0.650458,0.223963,0.010304,0.004389,1.36757E+18,,0.917443,positive,,0.293313,0.440976,0.041957,0.020425,0.036106
1.36757E+18,,,,1.36756E+18,quoted,,negative,-0.858227,0.249983,0.170937,0.355794,0.029847,0.053411,1.36756E+18,,-0.782716,negative,,0.321581,0.281447,0.178317,0.027867,0.070893
1.36758E+18,,,,1.36757E+18,quoted,,neutral,0,0.308517,0.095469,0.166346,0.097494,0.043778,1.36757E+18,,-0.661369,negative,,0.13191,0.564054,0.102528,0.027084,0.053459
1.36758E+18,,,,1.36757E+18,quoted,,neutral,0,0.197562,0.386798,0.101947,0.038505,0.068216,1.36757E+18,,0,neutral,,0.16291,0.470686,0.109791,0.03905,0.045589
1.36758E+18,,,,1.36757E+18,quoted,,negative,-0.917435,0.226876,0.38263,0.068369,0.037076,0.075672,1.36757E+18,,-0.793161,negative,,0.24201,0.412652,0.171934,0.03005,0.050265
1.36758E+18,,,,1.36758E+18,quoted,,negative,-0.75214,0.285325,0.253657,0.226758,0.025591,0.043265,1.36758E+18,,-0.780875,negative,,0.348182,0.04414,0.516175,0.012643,0.040116
1.36758E+18,,,,1.36758E+18,quoted,,negative,-0.720457,0.30013,0.125519,0.427579,0.020436,0.044965,1.36758E+18,,-0.780875,negative,,0.348182,0.04414,0.516175,0.012643,0.040116
1.36758E+18,,,,1.36747E+18,quoted,,negative,-0.483905,0.411715,0.224591,0.209642,0.028561,0.070927,1.36747E+18,,-0.447437,negative,,0.119365,0.21283,0.145165,0.029647,0.084494
1.36758E+18,,,,1.36758E+18,quoted,,negative,-0.753226,0.333745,0.068143,0.427094,0.015013,0.036345,1.36758E+18,,-0.780875,negative,,0.348182,0.04414,0.516175,0.012643,0.040116
1.36758E+18,,,,1.36758E+18,quoted,,negative,-0.828112,0.255844,0.206076,0.192289,0.033726,0.104174,1.36758E+18,,-0.780875,negative,,0.348182,0.04414,0.516175,0.012643,0.040116
